talk,speaker,speaker_title,speaker_occ,speaker_bio
How to be a good ancestor,Roman Krznaric,,Long-view philosopher,Roman Krznaric writes about the power of ideas to change society.
Why children stay silent following sexual violence,Kristin Jones,,Social media specialist,Kristin Jones is passionate about engaging people and communities through authenticity and emotional connection.
The hidden treasures of Timbuktu,Elizabeth Cox,,,
What it takes to create social change against all odds,Ralph Nader,,"Consumer advocate, political activist","Recognized as one of the leading social critics in America, Ralph Nader's consumer advocacy introduced landmark legislation."
Could CBD help opioid users overcome addiction?,Yasmin Hurd,,CBD scientist,"Neuroscientist Yasmin Hurd researches nonaddictive, efficacious treatments that use cannabidiol (CDB) to address the opioid epidemic."
Which type of milk is best for you?,Jonathan O'Sullivan,,,
Apple's promise to be carbon neutral by 2030,Lisa Jackson,,Environment and social VP at Apple,Lisa Jackson is an environmental and social impact leader who has dedicated her career to building a greener and more just economy.
"How businesses can serve everyone, not just shareholders",Dame Vivian Hunt,,Business leader,"Dame Vivian Hunt's professional journey has taken her from expanding midwifery services in Senegal to helping private, public and third sector leaders across the globe strategize and transform during extraordinary times."
Could we harness the power of a black hole?,Fabio Pacucci,,,
Amazon's climate pledge to be net-zero by 2040,Kara Hurst,,Head of worldwide sustainability at Amazon,Kara Hurst leads the development and evolution of sustainability and social responsibility at Amazon.
The secret to being a successful freelancer,Paco de Leon,,Financial wizard,Paco de Leon is a musician who happens to be killer at finance.
The race to a zero-emission world starts now,António Guterres,,Secretary-General of the United Nations,António Guterres is at the forefront of fighting the climate emergency and achieving the Sustainable Development Goals.
The global movement to restore nature's biodiversity,Thomas Crowther,,Ecosystem ecology professor,"In collaboration with vast networks of ecologists around the world, Thomas Crowther works to address the global threats of biodiversity loss and climate change."
Make your actions on climate reflect your words,Severn Cullis-Suzuki,,Environmental educator,Severn Cullis-Suzuki is a lifelong environmental activist seeking justice for future generations.
The rise and fall of history's first empire,Soraya Field Fiorio,,,
,,,,
Europe's plan to become the first carbon-neutral continent,Ursula von der Leyen,,President of the European Commission,Ursula von der Leyen believes that green and digital transformations hold the key to Europe's future prosperity and resilience.
Can you solve the riddle and escape Hades?,Daniel Finkel,,,
Climate justice can't happen without racial justice,David Lammy,,"Member of Parliament, UK","David Lammy is the first Black MP to hold the Justice post in British Parliament, either in government or opposition."
How cities are detoxing transportation,Monica Araya,,Electrification advocate,"Monica Araya works with leaders in government, business, philanthropy and activism to accelerate the shift toward emissions-free transportation."
,,,,
Our moral imperative to act on climate change -- and 3 steps we can take,His Holiness Pope Francis,,Bishop of Rome,"Pope Francis is the head of the Roman Catholic Church and a strong advocate of global action against climate change, to which he has devoted his powerful 2015 encyclical ""Laudato Si'."""
3 steps to stop remote work burnout,Morra Aarons-Mele,,Anxious overachiever,"Morra Aarons-Mele is a (mostly) happy, successful person. She also identifies as an extremely anxious overachiever, and she's working to normalize anxiety."
Why act now?,Kristen Bell,,"Actor, executive producer","Actor Kristen Bell most recently starred in the NBC series ""The Good Place,"" opposite Ted Danson."
"Can we create the ""perfect"" farm?",Brent Loken,,,
"A ""forest generation"" living in harmony with nature",Ernestine Leikeki Sevidzem,,Climate and gender activist,"Sevidzem Ernestine Leikeki has a drive to care for nature, foster women's empowerment and build future nature-lovers."
Where does all the carbon we release go?,Kristen Bell,,"Actor, executive producer","Actor Kristen Bell most recently starred in the NBC series ""The Good Place,"" opposite Ted Danson."
Why is 1.5 degrees such a big deal?,Kristen Bell,,"Actor, executive producer","Actor Kristen Bell most recently starred in the NBC series ""The Good Place,"" opposite Ted Danson."
The joy of taking out the trash,Aparna Nancherla,,Comedian,"A writer and stand-up comedian, Aparna Nancherla is one of the most exciting new voices to hit the comedy scene."
If trees could speak,Elif Shafak,,"Novelist, political scientist","One of the most unique novelists in today's world literature, Elif Shafak's writing blends East and West, feminism and memory, the local and the global, bringing the periphery to the centre, giving voice to the voiceless and the disempowered."
,,,,
"""Luna Negra"" / ""Carita de Inocente"" / ""Corazón Sin Cara"" / ""Darte un Beso""",Prince Royce,,"Singer, songwriter",Latin superstar Prince Royce is a multi-platinum award-winning singer and songwriter.
The state of the climate crisis, Climate Action Tracker,,,"The Climate Action Tracker is an independent scientific analysis that tracks government climate action and measures it against the globally agreed Paris Agreement aim of ""holding warming well below 2 degrees Celsius, and pursuing efforts to limit warming to 1.5 degrees Celsius."""
What is net-zero?,Kristen Bell,,"Actor, executive producer","Actor Kristen Bell most recently starred in the NBC series ""The Good Place,"" opposite Ted Danson."
Cities are driving climate change. Here's how they can fix it,Angel Hsu,,Climate and data scientist,Angel Hsu is a professor and data geek who applies data-driven methods to solve challenging environmental issues.
Why is the world warming up?,Kristen Bell,,"Actor, executive producer","Actor Kristen Bell most recently starred in the NBC series ""The Good Place,"" opposite Ted Danson."
How Ikea is growing its business while shrinking emissions,Jesper Brodin,,CEO of Ingka Group (IKEA),Jesper Brodin believes in values-based leadership and togetherness.
"The life unfolding inside your cells, revealed in 3D",Gokul Upadhyayula,,Bioimaging scientist,"Using revolutionary imaging technology, Gokul Upadhyayula provides biological insights with implications for the way we view and understand living organisms."
"What causes panic attacks, and how can you prevent them?",Cindy Aaronson,,,
Civilization on the Moon -- and what it means for life on Earth,Jessy Kate Schingler,,Space policy and governance researcher,"Jessy Kate Schingler is an astrophysicist and software engineer turned policy wonk, researching new institutions beyond borders -- on Earth and off."
What kids can teach adults about asking for help,YeYoon Kim,,Professional community developer,YeYoon Kim develops professional communities at the Project Management Institute.
"Who owns the ""wilderness""?",Elyse Cox,,,
The myth of the stolen eyeballs,Nathan Horowitz,,,
"An illustrated kingdom of real, fantastical plants",Nirupa Rao,,Botanical artist,"Working at the intersection of art and science, Nirupa Rao seeks to bring alive the magic of the plant kingdom."
Racism thrives on silence -- speak up!,Dexter Dias,,Human rights lawyer,"For the last 30 years, Dexter Dias has fought for the right of the families of people of color who have been killed in state custody to know how and why their loved ones have died. "
The surprising effects of pregnancy, TED-Ed,,,
"The neuroscience of psychedelic drugs, music and nostalgia",Frederick Streeter Barrett,,Psychedelic neuroscientist,Frederick Streeter Barrett reveals how psychedelic experiences may allow us to tap into resources within ourselves to heal and to grow.
The lie that invented racism,John Biewen,,"Journalist, documentarian","John Biewen directs the audio program at the Center for Documentary Studies at Duke University, where he produces the Center's Peabody-nominated documentary podcast, Scene on Radio."
The problem with the U.S. bail system,Camilo Ramirez,,,
