talk,speaker,speaker_title,speaker_occ,speaker_bio
A global movement to solve global problems,Colombe Cahen-Salvador,,Activist,"Colombe Cahen-Salvador is the cofounder of NOW!, a global campaign movement pushing for humanity to work as one to solve the biggest challenges of our time."
Performing brain surgery without a scalpel,Hyunsoo No,,,
"The ancient, earth-friendly wisdom of Mongolian nomads",Khulan Batkhuyag,,"Communication strategist, environmental activist","Khulan Batkhuyag helps consumers, businesses and countries create healthier and earth-friendly behavioral changes."
How humanity can reach the stars,Philip Lubin,,Physicist,Philip Lubin studies the physics of the universe.
"The World Machine | Think Like A Coder, Ep 10",Alex Rosenthal,,Producer,Alex Rosenthal takes everyday experiences and turns them into mind-bending puzzles.
,,,,
Is human evolution speeding up or slowing down?,Laurence Hurst,,,
The psychological traits that shape your political beliefs,Dannagal G. Young,,Political communication scholar,"A professor and entertainer, Dannagal G. Young studies the impact of modern media on social and political discourse -- and delivers her findings in unexpectedly performative ways."
Is life meaningless? And other absurd questions,Nina Medvinskaya,,,
"""Jabberwocky""",Lewis Carroll,,,
"If you adults won't save the world, we will",Xiye Bastida,,Climate activist,Xiye Bastida is one of the lead organizers of the Fridays For Future youth climate strike movement.
Secrets of the mind and free will -- revealed by magic tricks,Alice Pailhès,,"Scientist, illusionist","Fascinated by quirks of the human mind, Alice Pailhès transmits scientific knowledge through magic tricks."
What role does luck play in your life?,Barry Schwartz,,Psychology professor,"Barry Schwartz studies the link between economics and psychology, offering startling insights into modern life."
Why do we blame individuals for economic crises?,Liene Ozoliņa,,Political sociologist,Liene Ozoliņa teaches sociology and researches post-socialist politics and culture.
A day in the life of an ancient Greek architect,Mark Robinson,,,
You shouldn't have to choose between filling your prescriptions and paying bills,Kiah Williams,,Social entrepreneur,"Kiah Williams is cofounder and director of SIRUM, a social venture solving America's high drug cost problem."
The Japanese folktale of the selfish scholar,Iseult Gillespie,,,
The psychology of inequality and political division,Keith Payne,,,Keith Payne studies how inequality shapes the human mind.
"How to win an argument (at the US Supreme Court, or anywhere)",Neal Katyal,,Supreme Court litigator,Neal Katyal is the former Acting Solicitor General of the United States and is currently serving as a Special Prosecutor in the George Floyd murder cases.
A lesson in turning adversaries into allies,Leah Garcés,,Animal rights activist,Leah Garces fights to end animal exploitation.
,,,,
Are all of your memories real?,Daniel Schacter,,,
"Dear Facebook, this is how you're breaking democracy",Yaël Eisenstat,,Democracy activist,"After years spent as a CIA analyst, diplomat and national security advisor at the White House, Yaël Eisenstat began to view the breakdown of civil discourse as the biggest threat to US democracy."
4 steps to ending extreme poverty,Shameran Abed,,Global poverty activist,Shameran Abed helps households around the world create a path out of extreme poverty.
Why people fall for misinformation,Joseph Isaac,,,
How do daily habits lead to political violence?,Christiane-Marie Abu Sarah,,World historian and conflict resolution specialist,"By traversing the globe and digging through archives to recover records of aggression, radicalization and conflict, Christiane-Marie Abu Sarah educates and trains audiences in innovative dispute management techniques. "
Can you solve the sorting hat riddle?,Dan Katz,,,
Dignity isn't a privilege. It's a worker's right,Abigail Disney,,"Filmmaker, activist",Abigail Disney advocates for real changes to the way capitalism operates in today's world.
6 tips for better sleep,Matt Walker,,"Sleep scientist, professor, author",Matt Walker is a brain scientist trying to understand why we sleep.
Why specializing early doesn't always mean career success,David Epstein,,Science and investigative reporter,"David Epstein obsesses over mistranslations of scientific research, and tries to temper the misconceptions that follow them."
The fish that walk on land,Noah Bressman,,,
"Nature, folklore and serendipitous photo collaborations",Riitta Ikonen,,Artist,Riitta Ikonen is a Finnish artist whose collaborative work reinforces humanity's connection to the natural world.
What Saturn's most mysterious moon could teach us about the origins of life,"Elizabeth ""Zibi"" Turtle",,Planetary scientist,"Elizabeth ""Zibi"" Turtle has devoted her career to exploring our solar system's nearby worlds. Her latest project is Dragonfly, a robotic rotorcraft-lander designed to explore Titan, Saturn's largest moon."
How to outsmart the Prisoner's Dilemma,Lucas Husted,,,
How the US medical community fails Black mothers,Wanda Irving,,Maternal care reformer,Wanda Irving envisions a health care system where no individual is excluded.
What it means to be intersex,Susannah Temko,,Advocate,Susannah Temko advocates for intersex individuals to be viewed and accepted as part of the beautiful complexity of humanity.
How much sleep do you really need?,Matt Walker,,"Sleep scientist, professor, author",Matt Walker is a brain scientist trying to understand why we sleep.
Is the weather actually becoming more extreme?,Ramalingam Saravanan,,,
The tyranny of merit,Michael Sandel,,Political philosopher,"Michael Sandel teaches political philosophy at Harvard, exploring the most hotly contested moral and political issues of our time."
Evolution's great mystery,Michael Corballis,,,
How animals and plants are evolving in cities,Menno Schilthuizen,,Evolutionary biologist,Menno Schilthuizen studies the animals and plants in cities and how they adapt to their new urban habitat.
Why we must stop dancing to the sound of our own oppression,Madame Gandhi,,"Activist, musician","TED Fellow Kiran Gandhi, who performs as Madame Gandhi, elevates and celebrates the female voice."
The rise of modern populism,Takis Pappas,,,
"Big data, small farms and a tale of two tomatoes",Erin Baumgartner,,Entrepreneur,Erin Baumgartner thinks about ways to use technology to shorten and simplify the complex system of the food supply chain.
How sleep can improve your immunity,Matt Walker,,"Sleep scientist, professor, author",Matt Walker is a brain scientist trying to understand why we sleep.
Can the ocean run out of oxygen?,Kate Slabosky,,,
How doctors can help fix the broken US asylum system,Joseph Shin,,"Physician, child rights advocate","By conducting detailed forensic medical evaluations, Joseph Shin works to advance justice, accountability and health for displaced populations. "
Art in the age of machine intelligence,Refik Anadol,,Media artist,"Refik Anadol offers radical visualizations of digitized memories and expands the possibilities of architecture, narrative and the body in motion."
What's that ringing in your ears?,Marc Fagelson,,,
"Can we call it a ""world map"" if it's missing a billion people?",Rebecca Firth,,Community builder,Rebecca Firth works closely with local and international partners to support mapping in communities across the world.
What to do when everything feels broken,Daniel Alexander Jones,,"Performance artist, writer, professor","TED Fellow Daniel Alexander Jones creates performance experiences through music, storytelling and improvisation featuring his dynamic alter ego, Jomama Jones."
